step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,orig_bal_diff,dest_bal_diff,orig_ratio,dest_ratio
1,TRANSFER,181.0,C1305486145,181.0,0.0,C553264065,0.0,0.0,1,181.0,0.0,0.0,0.0
1,CASH_OUT,181.0,C840083671,181.0,0.0,C38997010,21182.0,0.0,1,181.0,21182.0,0.0,0.0
1,TRANSFER,2806.0,C1420196421,2806.0,0.0,C972765878,0.0,0.0,1,2806.0,0.0,0.0,0.0
1,CASH_OUT,2806.0,C2101527076,2806.0,0.0,C1007251739,26202.0,0.0,1,2806.0,26202.0,0.0,0.0
1,TRANSFER,20128.0,C137533655,20128.0,0.0,C1848415041,0.0,0.0,1,20128.0,0.0,0.0,0.0
1,CASH_OUT,20128.0,C1118430673,20128.0,0.0,C339924917,6268.0,12145.85,1,20128.0,-5877.85,0.0,1.9377552648341771
1,CASH_OUT,416001.33,C749981943,0.0,0.0,C667346055,102.0,9291619.62,1,0.0,-9291517.62,0.0,91094.30999106918
1,TRANSFER,1277212.77,C1334405552,1277212.77,0.0,C431687661,0.0,0.0,1,1277212.77,0.0,0.0,0.0
1,CASH_OUT,1277212.77,C467632528,1277212.77,0.0,C716083600,0.0,2444985.19,1,1277212.77,-2444985.19,0.0,244498519000000.0
1,TRANSFER,35063.63,C1364127192,35063.63,0.0,C1136419747,0.0,0.0,1,35063.63,0.0,0.0,0.0
1,CASH_OUT,35063.63,C1635772897,35063.63,0.0,C1983025922,31140.0,7550.03,1,35063.63,23589.97,0.0,0.24245439948611353
1,TRANSFER,25071.46,C669700766,25071.46,0.0,C1384210339,0.0,0.0,1,25071.46,0.0,0.0,0.0
1,CASH_OUT,25071.46,C1275464847,25071.46,0.0,C1364913072,9083.76,34155.22,1,25071.46,-25071.46,0.0,3.760031088443816
1,CASH_OUT,132842.64,C13692003,4499.08,0.0,C297927961,0.0,132842.64,1,4499.08,-132842.64,0.0,13284264000000.002
1,TRANSFER,235238.66,C1872047468,235238.66,0.0,C116289363,0.0,0.0,1,235238.66,0.0,0.0,0.0
1,CASH_OUT,235238.66,C1499825229,235238.66,0.0,C2100440237,0.0,235238.66,1,235238.66,-235238.66,0.0,23523866000000.0
2,TRANSFER,1096187.24,C1093223281,1096187.24,0.0,C2063275841,0.0,0.0,1,1096187.24,0.0,0.0,0.0
2,CASH_OUT,1096187.24,C77163673,1096187.24,0.0,C644345897,0.0,1096187.24,1,1096187.24,-1096187.24,0.0,109618724000000.0
2,TRANSFER,963532.14,C1440057381,963532.14,0.0,C268086000,0.0,0.0,1,963532.14,0.0,0.0,0.0
2,CASH_OUT,963532.14,C430329518,963532.14,0.0,C991505714,132382.57,1095914.71,1,963532.14,-963532.1399999999,0.0,8.278391256491826
2,TRANSFER,14949.84,C140702728,14949.84,0.0,C634210724,0.0,0.0,1,14949.84,0.0,0.0,0.0
2,CASH_OUT,14949.84,C395257482,14949.84,0.0,C1032986144,18161.79,33111.63,1,14949.84,-14949.839999999997,0.0,1.8231479386107736
2,TRANSFER,18627.02,C1375503918,18627.02,0.0,C234430897,0.0,0.0,1,18627.02,0.0,0.0,0.0
2,CASH_OUT,18627.02,C175961135,18627.02,0.0,C1711105800,147251.58,165878.6,1,18627.02,-18627.02000000002,0.0,1.126497929597691
3,TRANSFER,10539.37,C1134864869,10539.37,0.0,C118648358,0.0,0.0,1,10539.37,0.0,0.0,0.0
3,CASH_OUT,10539.37,C1984954272,10539.37,0.0,C124540047,0.0,10539.37,1,10539.37,-10539.37,0.0,1053937000000.0
3,TRANSFER,22877.0,C1247938090,22877.0,0.0,C1002031672,0.0,0.0,1,22877.0,0.0,0.0,0.0
3,CASH_OUT,22877.0,C2126545173,22877.0,0.0,C573200870,0.0,22877.0,1,22877.0,-22877.0,0.0,2287700000000.0
4,TRANSFER,10000000.0,C7162498,12900000.0,2930418.44,C945327594,0.0,0.0,1,9969581.56,0.0,0.2271642201550386,0.0
4,CASH_OUT,10000000.0,C351297720,10000000.0,0.0,C766681183,0.0,9941904.21,1,10000000.0,-9941904.21,0.0,994190421000000.1
4,TRANSFER,2930418.44,C2047521920,2930418.44,0.0,C449261773,0.0,0.0,1,2930418.44,0.0,0.0,0.0
4,CASH_OUT,2930418.44,C2044690596,2930418.44,0.0,C932583850,3616012.1,6963508.84,1,2930418.44,-3347496.7399999998,0.0,1.925742682111042
4,TRANSFER,169941.73,C540962910,169941.73,0.0,C2127862399,0.0,0.0,1,169941.73,0.0,0.0,0.0
4,CASH_OUT,169941.73,C2026325575,169941.73,0.0,C1394526584,0.0,169941.73,1,169941.73,-169941.73,0.0,16994173000000.0
4,TRANSFER,13707.11,C17222024,13707.11,0.0,C410033330,0.0,0.0,1,13707.11,0.0,0.0,0.0
4,CASH_OUT,13707.11,C556223230,13707.11,0.0,C2094777811,0.0,13707.11,1,13707.11,-13707.11,0.0,1370711000000.0
4,TRANSFER,86070.17,C1844941220,86070.17,0.0,C1191544932,0.0,0.0,1,86070.17,0.0,0.0,0.0
4,CASH_OUT,86070.17,C1699873763,86070.17,0.0,C560041895,0.0,86070.17,1,86070.17,-86070.17,0.0,8607017000000.0
5,TRANSFER,120074.73,C1409933277,120074.73,0.0,C162114152,0.0,0.0,1,120074.73,0.0,0.0,0.0
5,CASH_OUT,120074.73,C1174000532,120074.73,0.0,C410033330,0.0,120074.73,1,120074.73,-120074.73,0.0,12007473000000.0
5,TRANSFER,60726.57,C383882703,60726.57,0.0,C1807010830,0.0,0.0,1,60726.57,0.0,0.0,0.0
5,CASH_OUT,60726.57,C840095827,60726.57,0.0,C803116137,13000000.0,13100000.0,1,60726.57,-100000.0,0.0,1.007692307692307
